symbol,scenario,hold_days,round_trip_cost,gross_ann_on_notional,annualized_cost_drag,net_ann_on_notional,break_even_days
BTCUSDT,VIP0_task_conservative,30,0.008,0.12038159014906304,0.0974,0.022981590149063036,24.2728144426554
BTCUSDT,VIP0_task_conservative,90,0.008,0.12038159014906304,0.03246666666666667,0.08791492348239636,24.2728144426554
BTCUSDT,VIP0_task_conservative,365,0.008,0.12038159014906304,0.008005479452054796,0.11237611069700824,24.2728144426554
BTCUSDT,BNB_fee_discount_sensitivity,30,0.0073,0.12038159014906304,0.0888775,0.03150409014906304,22.148943178923048
BTCUSDT,BNB_fee_discount_sensitivity,90,0.0073,0.12038159014906304,0.029625833333333334,0.0907557568157297,22.148943178923048
BTCUSDT,BNB_fee_discount_sensitivity,365,0.0073,0.12038159014906304,0.007305,0.11307659014906303,22.148943178923048
ETHUSDT,VIP0_task_conservative,30,0.008,0.14348526267355197,0.0974,0.046085262673551966,20.364460750564593
ETHUSDT,VIP0_task_conservative,90,0.008,0.14348526267355197,0.03246666666666667,0.1110185960068853,20.364460750564593
ETHUSDT,VIP0_task_conservative,365,0.008,0.14348526267355197,0.008005479452054796,0.13547978322149717,20.364460750564593
ETHUSDT,BNB_fee_discount_sensitivity,30,0.0073,0.14348526267355197,0.0888775,0.05460776267355197,18.58257043489019
ETHUSDT,BNB_fee_discount_sensitivity,90,0.0073,0.14348526267355197,0.029625833333333334,0.11385942934021863,18.58257043489019
ETHUSDT,BNB_fee_discount_sensitivity,365,0.0073,0.14348526267355197,0.007305,0.13618026267355196,18.58257043489019
SOLUSDT,VIP0_task_conservative,30,0.008,0.0012933805965331707,0.0974,-0.09610661940346683,2259.1957911168965
SOLUSDT,VIP0_task_conservative,90,0.008,0.0012933805965331707,0.03246666666666667,-0.0311732860701335,2259.1957911168965
SOLUSDT,VIP0_task_conservative,365,0.008,0.0012933805965331707,0.008005479452054796,-0.0067120988555216254,2259.1957911168965
SOLUSDT,BNB_fee_discount_sensitivity,30,0.0073,0.0012933805965331707,0.0888775,-0.08758411940346683,2061.516159394168
SOLUSDT,BNB_fee_discount_sensitivity,90,0.0073,0.0012933805965331707,0.029625833333333334,-0.028332452736800164,2061.516159394168
SOLUSDT,BNB_fee_discount_sensitivity,365,0.0073,0.0012933805965331707,0.007305,-0.006011619403466829,2061.516159394168
