datetime,funding_interval_hours,last_funding_rate
2026-06-01 00:00:00,8,5.703e-05
2026-06-01 08:00:00,8,4.438e-05
2026-06-01 16:00:00,8,0.0001
2026-06-02 00:00:00,8,0.0001
2026-06-02 08:00:00,8,5.99e-05
2026-06-02 16:00:00,8,8.345e-05
2026-06-03 00:00:00,8,7.165e-05
2026-06-03 08:00:00,8,5.229e-05
2026-06-03 16:00:00,8,0.0001
2026-06-04 00:00:00,8,2.705e-05
2026-06-04 08:00:00,8,1.519e-05
2026-06-04 16:00:00,8,-1.077e-05
2026-06-05 00:00:00,8,1.315e-05
2026-06-05 08:00:00,8,-1.431e-05
2026-06-05 16:00:00,8,-8.63e-06
